Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
115,4.18159e-52,0.128125,5000,1,11.9375,1,0,0.0537109,0.0537109
116,5.22336e-52,0.127039,5000,1,11.9707,1,0,0.0507812,0.0507812
117,6.38089e-52,0.125832,5000,1,11.9863,1,0,0.0507812,0.0507812
118,7.65418e-52,0.124505,5000,1,12.0039,1,0,0.0605469,0.0605469
119,9.04322e-52,0.123076,5000,0.999023,12.0107,0.999023,0,0.0595703,0.0595703
120,1.0548e-51,0.121508,5000,0.999023,12.0146,0.999023,0,0.0556641,0.0556641
121,1.21396e-51,0.119868,5000,0.998047,12.0049,0.998047,0,0.0527344,0.0527344
122,1.39048e-51,0.117989,5000,1,12.0039,1,0,0.0400391,0.0400391
123,1.48019e-51,0.117054,5000,1,12.0039,1,0,0.0507812,0.0507812
124,1.48164e-51,0.117039,5000,1,12,1,0,0.0517578,0.0517578
125,1.47875e-51,0.117108,5000,0.998047,11.998,0.998047,0,0.0566406,0.0566406
126,1.48019e-51,0.117073,5000,0.999023,11.9932,0.999023,0,0.0390625,0.0390625
127,1.48164e-51,0.117039,5000,1,11.9902,1,0,0.0458984,0.0458984
128,1.47875e-51,0.117088,5000,0.999023,11.9795,0.999023,0,0.0595703,0.0595703
129,1.48164e-51,0.117039,5000,1,11.9746,1,0,0.0410156,0.0410156
130,1.48164e-51,0.117039,5000,1,11.9814,1,0,0.0449219,0.0449219
131,1.48019e-51,0.117054,5000,1,11.9697,1,0,0.046875,0.046875
132,1.48019e-51,0.117054,5000,1,11.9766,1,0,0.046875,0.046875
133,1.48164e-51,0.117039,5000,1,11.9678,1,0,0.0439453,0.0439453
134,1.48164e-51,0.117039,5000,1,11.9648,1,0,0.0507812,0.0507812
135,1.48019e-51,0.117073,5000,0.999023,11.9619,0.999023,0,0.0527344,0.0527344
136,1.48164e-51,0.117039,5000,1,11.958,1,0,0.0498047,0.0498047
137,1.48019e-51,0.117073,5000,0.999023,11.9541,0.999023,0,0.0576172,0.0576172
138,1.48164e-51,0.117039,5000,1,11.9561,1,0,0.0458984,0.0458984
139,1.48164e-51,0.117039,5000,1,11.957,1,0,0.0507812,0.0507812
140,1.48164e-51,0.117039,5000,1,11.9453,1,0,0.0517578,0.0517578
141,1.48164e-51,0.117039,5000,1,11.9326,1,0,0.0673828,0.0673828
142,1.48164e-51,0.117039,5000,1,11.9385,1,0,0.0527344,0.0527344
143,1.48164e-51,0.117039,5000,1,11.9395,1,0,0.0380859,0.0380859
144,1.48019e-51,0.117073,5000,0.999023,11.9395,0.999023,0,0.0488281,0.0488281
145,1.48164e-51,0.117039,5000,1,11.9424,1,0,0.0410156,0.0410156
146,1.48019e-51,0.117073,5000,0.999023,11.9434,0.999023,0,0.0585938,0.0585938
147,1.48164e-51,0.117039,5000,1,11.9463,1,0,0.0458984,0.0458984
148,1.48164e-51,0.117039,5000,1,11.9326,1,0,0.0537109,0.0537109
149,1.48019e-51,0.117073,5000,0.999023,11.9238,0.999023,0,0.0517578,0.0517578
150,1.48164e-51,0.117039,5000,1,11.9199,1,0,0.0478516,0.0478516
151,1.48164e-51,0.117039,5000,1,11.9141,1,0,0.0429688,0.0429688
152,1.48019e-51,0.117073,5000,0.999023,11.9062,0.999023,0,0.0498047,0.0498047
153,1.48019e-51,0.117054,5000,1,11.8916,1,0,0.0429688,0.0429688
154,1.47875e-51,0.117108,5000,0.998047,11.9053,0.998047,0,0.046875,0.046875
155,1.48075e-51,0.11704,5000,1,11.9043,1,0,0.0507812,0.0507812
156,1.48164e-51,0.117039,5000,1,11.9023,1,0,0.0498047,0.0498047
157,1.48164e-51,0.117039,5000,1,11.8945,1,0,0.0556641,0.0556641
158,1.48019e-51,0.117054,5000,1,11.8994,1,0,0.0556641,0.0556641
159,1.48164e-51,0.117039,5000,1,11.8955,1,0,0.0507812,0.0507812
160,1.48164e-51,0.117039,5000,1,11.8887,1,0,0.0429688,0.0429688
161,1.48019e-51,0.117054,5000,1,11.8887,1,0,0.0498047,0.0498047
162,1.48164e-51,0.117039,5000,1,11.8672,1,0,0.0546875,0.0546875
163,1.48164e-51,0.117039,5000,1,11.8643,1,0,0.0498047,0.0498047
164,1.48164e-51,0.117039,5000,1,11.8652,1,0,0.0488281,0.0488281
165,1.48164e-51,0.117039,5000,1,11.875,1,0,0.046875,0.046875
166,1.47985e-51,0.117041,5000,1,11.8711,1,0,0.0488281,0.0488281
167,1.48075e-51,0.11704,5000,1,11.8682,1,0,0.0537109,0.0537109
168,1.48075e-51,0.11704,5000,1,11.8594,1,0,0.0566406,0.0566406
169,1.48019e-51,0.117073,5000,0.999023,11.8535,0.999023,0,0.0527344,0.0527344
170,1.47875e-51,0.117088,5000,1,11.8516,0.999023,0.000976562,0.0449219,0.0449219
171,1.48019e-51,0.117073,5000,0.999023,11.8428,0.999023,0,0.0478516,0.0478516
172,1.48164e-51,0.117039,5000,1,11.875,1,0,0.0371094,0.0371094
173,1.48164e-51,0.117039,5000,1,11.8857,1,0,0.0673828,0.0673828
174,1.48019e-51,0.117061,5000,1,11.9033,1,0,0.0390625,0.0390625
175,1.48164e-51,0.117039,5000,1,11.918,1,0,0.0488281,0.0488281
176,1.48019e-51,0.117054,5000,1,11.9121,1,0,0.0507812,0.0507812
177,1.4793e-51,0.117074,5000,1,11.915,1,0.000976562,0.0478516,0.0478516
178,1.48019e-51,0.117073,5000,0.999023,11.9189,0.999023,0,0.0498047,0.0498047
179,1.48164e-51,0.117039,5000,1,11.9375,1,0,0.0458984,0.0458984
180,1.48164e-51,0.117039,5000,1,11.9053,1,0,0.0556641,0.0556641
181,1.4793e-51,0.117074,5000,0.999023,11.8945,0.999023,0,0.0507812,0.0507812
182,1.47641e-51,0.117104,5000,0.999023,11.8975,0.999023,0,0.0458984,0.0458984
183,1.4793e-51,0.117055,5000,1,11.9141,1,0,0.0576172,0.0576172
184,1.4784e-51,0.117075,5000,1,11.9072,0.999023,0.000976562,0.0527344,0.0527344
185,1.4793e-51,0.117055,5000,1,11.918,1,0,0.0576172,0.0576172
186,1.48075e-51,0.11704,5000,1,11.9297,1,0,0.0429688,0.0429688
187,1.48164e-51,0.117039,5000,1,11.9297,1,0,0.0488281,0.0488281
188,1.48164e-51,0.117039,5000,1,11.9082,1,0,0.0537109,0.0537109
189,1.48019e-51,0.117054,5000,1,11.9033,1,0,0.0449219,0.0449219
190,1.48164e-51,0.117039,5000,1,11.918,1,0,0.0498047,0.0498047
191,1.48164e-51,0.117039,5000,1,11.9385,1,0,0.0517578,0.0517578
192,1.48164e-51,0.117039,5000,1,11.9404,1,0,0.0478516,0.0478516
193,1.48164e-51,0.117039,5000,1,11.9131,1,0,0.0449219,0.0449219
194,1.4773e-51,0.117103,5000,0.999023,11.917,0.999023,0,0.0595703,0.0595703
195,1.48164e-51,0.117039,5000,1,11.9102,1,0,0.0498047,0.0498047
196,1.48164e-51,0.117039,5000,1,11.916,1,0,0.0488281,0.0488281
197,1.48164e-51,0.117039,5000,1,11.8867,1,0,0.03125,0.03125
198,1.48164e-51,0.117039,5000,1,11.8691,1,0,0.0527344,0.0527344
199,1.48019e-51,0.117073,5000,0.999023,11.8545,0.999023,0,0.0449219,0.0449219
