Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
322,1.47875e-51,0.117083,5000,1,11.877,1,0,0.0605469,0.0605469
323,1.48164e-51,0.117039,5000,1,11.9131,1,0,0.0478516,0.0478516
324,1.48164e-51,0.117039,5000,1,11.9102,1,0,0.0537109,0.0537109
325,1.48164e-51,0.117039,5000,1,11.8848,1,0,0.0673828,0.0673828
326,1.48075e-51,0.11704,5000,1,11.8896,1,0,0.0527344,0.0527344
327,1.47875e-51,0.117069,5000,1,11.9102,1,0,0.0605469,0.0605469
328,1.48019e-51,0.117073,5000,0.999023,11.917,0.999023,0,0.0605469,0.0605469
329,1.47875e-51,0.117108,5000,0.999023,11.9238,0.998047,0.000976562,0.0517578,0.0517578
330,1.47875e-51,0.117088,5000,0.999023,11.9082,0.999023,0,0.0498047,0.0498047
331,1.48019e-51,0.117073,5000,0.999023,11.8984,0.999023,0,0.0703125,0.0703125
332,1.47875e-51,0.117108,5000,0.998047,11.9014,0.998047,0,0.0488281,0.0488281
333,1.48019e-51,0.117073,5000,0.999023,11.8965,0.999023,0,0.0585938,0.0585938
334,1.48164e-51,0.117039,5000,1,11.8789,1,0,0.0478516,0.0478516
335,1.48019e-51,0.117073,5000,1,11.8721,0.999023,0.000976562,0.0517578,0.0517578
336,1.48019e-51,0.117073,5000,1,11.8398,0.999023,0.000976562,0.0537109,0.0537109
337,1.48164e-51,0.117039,5000,1,11.8594,1,0,0.0556641,0.0556641
338,1.48075e-51,0.11704,5000,1,11.835,1,0,0.0605469,0.0605469
339,1.4793e-51,0.117074,5000,0.999023,11.8564,0.999023,0,0.0566406,0.0566406
340,1.47985e-51,0.117041,5000,1,11.8447,1,0,0.0488281,0.0488281
341,1.48164e-51,0.117039,5000,1,11.8691,1,0,0.0478516,0.0478516
342,1.48164e-51,0.117039,5000,1,11.8633,1,0,0.0517578,0.0517578
343,1.48164e-51,0.117039,5000,1,11.8301,1,0,0.0439453,0.0439453
344,1.48164e-51,0.117039,5000,1,11.8193,1,0,0.0576172,0.0576172
345,1.47875e-51,0.117069,5000,1,11.7939,1,0,0.0693359,0.0693359
346,1.48164e-51,0.117039,5000,1,11.7832,1,0,0.0644531,0.0644531
347,1.48164e-51,0.117039,5000,1,11.79,1,0,0.0361328,0.0361328
348,1.48164e-51,0.117039,5000,1,11.7793,1,0,0.0517578,0.0517578
349,1.48164e-51,0.117039,5000,1,11.8086,1,0,0.0527344,0.0527344
350,1.48019e-51,0.117054,5000,1,11.7842,1,0,0.0527344,0.0527344
351,1.48164e-51,0.117039,5000,1,11.791,1,0,0.0488281,0.0488281
352,1.48164e-51,0.117039,5000,1,11.7764,1,0,0.0478516,0.0478516
353,1.47875e-51,0.117088,5000,0.999023,11.748,0.999023,0,0.0605469,0.0605469
354,1.47585e-51,0.117158,5000,0.998047,11.7539,0.99707,0.000976562,0.0537109,0.0537109
355,1.48164e-51,0.117039,5000,1,11.7588,1,0,0.0566406,0.0566406
356,1.48164e-51,0.117039,5000,1,11.7598,1,0,0.0488281,0.0488281
357,1.48164e-51,0.117039,5000,1,11.7529,1,0,0.0517578,0.0517578
358,1.48164e-51,0.117039,5000,1,11.7666,1,0,0.0576172,0.0576172
359,1.48164e-51,0.117039,5000,1,11.7314,1,0,0.0351562,0.0351562
360,1.48019e-51,0.117073,5000,0.999023,11.7412,0.999023,0,0.0546875,0.0546875
361,1.48164e-51,0.117039,5000,1,11.7158,1,0,0.0400391,0.0400391
362,1.48019e-51,0.117073,5000,1,11.7207,0.999023,0.000976562,0.0566406,0.0566406
363,1.48164e-51,0.117039,5000,1,11.7148,1,0,0.0478516,0.0478516
364,1.48164e-51,0.117039,5000,1,11.7188,1,0,0.0517578,0.0517578
365,1.48164e-51,0.117039,5000,1,11.751,1,0,0.0546875,0.0546875
366,1.48164e-51,0.117039,5000,1,11.7852,1,0,0.0410156,0.0410156
367,1.47875e-51,0.117108,5000,0.998047,11.79,0.998047,0,0.0585938,0.0585938
368,1.48164e-51,0.117039,5000,1,11.7666,1,0,0.0449219,0.0449219
369,1.48019e-51,0.117073,5000,0.999023,11.7412,0.999023,0,0.0556641,0.0556641
370,1.48164e-51,0.117039,5000,1,11.7305,1,0,0.0410156,0.0410156
371,1.48019e-51,0.117054,5000,1,11.7266,1,0,0.0498047,0.0498047
372,1.48019e-51,0.117054,5000,1,11.6729,1,0,0.0380859,0.0380859
373,1.48164e-51,0.117039,5000,1,11.6885,1,0,0.0537109,0.0537109
374,1.48164e-51,0.117039,5000,1,11.7197,1,0,0.0615234,0.0615234
375,1.47875e-51,0.117088,5000,0.999023,11.7324,0.999023,0,0.0332031,0.0332031
376,1.48164e-51,0.117039,5000,1,11.7256,1,0,0.0488281,0.0488281
377,1.4773e-51,0.117103,5000,0.999023,11.7363,0.999023,0,0.0507812,0.0507812
378,1.48019e-51,0.117054,5000,1,11.751,1,0,0.0546875,0.0546875
379,1.48164e-51,0.117039,5000,1,11.7715,1,0,0.0498047,0.0498047
380,1.48164e-51,0.117039,5000,1,11.7666,1,0,0.0439453,0.0439453
381,1.48164e-51,0.117039,5000,1,11.7812,1,0,0.0478516,0.0478516
382,1.48019e-51,0.117073,5000,0.999023,11.8301,0.999023,0,0.0380859,0.0380859
383,1.48164e-51,0.117039,5000,1,11.8516,1,0,0.0585938,0.0585938
384,1.48164e-51,0.117039,5000,1,11.8252,1,0,0.0537109,0.0537109
385,1.48019e-51,0.117054,5000,1,11.7852,1,0,0.0449219,0.0449219
386,1.47875e-51,0.117088,5000,0.999023,11.7998,0.999023,0,0.046875,0.046875
387,1.48164e-51,0.117039,5000,1,11.793,1,0,0.0585938,0.0585938
388,1.48164e-51,0.117039,5000,1,11.7725,1,0,0.0507812,0.0507812
389,1.48164e-51,0.117039,5000,1,11.7266,1,0,0.0488281,0.0488281
390,1.48019e-51,0.117054,5000,1,11.7373,1,0,0.0527344,0.0527344
391,1.48164e-51,0.117039,5000,1,11.7236,1,0,0.0507812,0.0507812
392,1.48164e-51,0.117039,5000,1,11.752,1,0,0.0488281,0.0488281
393,1.48019e-51,0.117081,5000,1,11.75,1,0,0.046875,0.046875
394,1.48164e-51,0.117039,5000,1,11.7383,1,0,0.0546875,0.0546875
395,1.48164e-51,0.117039,5000,1,11.7324,1,0,0.0419922,0.0419922
396,1.48164e-51,0.117039,5000,1,11.75,1,0,0.046875,0.046875
397,1.48019e-51,0.117073,5000,0.999023,11.7559,0.999023,0,0.0488281,0.0488281
398,1.48164e-51,0.117039,5000,1,11.7471,1,0,0.0556641,0.0556641
399,1.48019e-51,0.117073,5000,0.999023,11.7656,0.999023,0,0.0507812,0.0507812
400,1.48164e-51,0.117039,5000,1,11.7461,1,0,0.0507812,0.0507812
401,1.48164e-51,0.117039,5000,1,11.7432,1,0,0.0556641,0.0556641
402,1.47875e-51,0.117108,5000,0.998047,11.7373,0.998047,0,0.0498047,0.0498047
403,1.48019e-51,0.117073,5000,0.999023,11.7578,0.999023,0,0.0654297,0.0654297
404,1.48164e-51,0.117039,5000,1,11.7852,1,0,0.0595703,0.0595703
405,1.47875e-51,0.117088,5000,0.999023,11.7998,0.999023,0,0.0488281,0.0488281
406,1.48164e-51,0.117039,5000,1,11.8076,1,0,0.0537109,0.0537109
407,1.47875e-51,0.117116,5000,1,11.8232,1,0.000976562,0.0429688,0.0429688
408,1.48164e-51,0.117039,5000,1,11.8066,1,0,0.0419922,0.0419922
409,1.48164e-51,0.117039,5000,1,11.7842,1,0,0.0537109,0.0537109
410,1.4773e-51,0.117123,5000,0.999023,11.7627,0.998047,0.000976562,0.0625,0.0625
411,1.48164e-51,0.117039,5000,1,11.71,1,0,0.0429688,0.0429688
412,1.48164e-51,0.117039,5000,1,11.7139,1,0,0.0585938,0.0585938
413,1.48019e-51,0.117054,5000,1,11.748,1,0,0.0449219,0.0449219
414,1.48019e-51,0.117054,5000,1,11.7588,1,0,0.0517578,0.0517578
415,1.48164e-51,0.117039,5000,1,11.7773,1,0,0.0410156,0.0410156
416,1.48164e-51,0.117039,5000,1,11.8018,1,0,0.0400391,0.0400391
417,1.47875e-51,0.117095,5000,1,11.7803,0.999023,0.000976562,0.0449219,0.0449219
418,1.48164e-51,0.117039,5000,1,11.75,1,0,0.0498047,0.0498047
419,1.48164e-51,0.117039,5000,1,11.7783,1,0,0.0498047,0.0498047
420,1.48164e-51,0.117039,5000,1,11.7695,1,0,0.0517578,0.0517578
421,1.48164e-51,0.117039,5000,1,11.7852,1,0,0.0332031,0.0332031
422,1.47875e-51,0.117103,5000,1,11.8027,1,0,0.0546875,0.0546875
423,1.48164e-51,0.117039,5000,1,11.8076,1,0,0.0478516,0.0478516
424,1.48164e-51,0.117039,5000,1,11.7812,1,0,0.0322266,0.0322266
425,1.48019e-51,0.117073,5000,1,11.8135,0.999023,0.000976562,0.0537109,0.0537109
426,1.48075e-51,0.11704,5000,1,11.8418,1,0,0.0546875,0.0546875
427,1.48164e-51,0.117039,5000,1,11.833,1,0,0.0458984,0.0458984
428,1.48164e-51,0.117039,5000,1,11.8291,1,0,0.0546875,0.0546875
429,1.48164e-51,0.117039,5000,1,11.8398,1,0,0.0371094,0.0371094
430,1.48019e-51,0.117073,5000,1,11.8281,0.999023,0.000976562,0.0458984,0.0458984
431,1.48164e-51,0.117039,5000,1,11.9219,1,0,0.0439453,0.0439453
432,1.48164e-51,0.117039,5000,1,11.9219,1,0,0.0371094,0.0371094
433,1.48019e-51,0.117073,5000,0.999023,11.959,0.999023,0,0.0341797,0.0341797
434,1.48164e-51,0.117039,5000,1,11.9189,1,0,0.0527344,0.0527344
435,1.48164e-51,0.117039,5000,1,11.916,1,0,0.0517578,0.0517578
436,1.48164e-51,0.117039,5000,1,11.9189,1,0,0.0537109,0.0537109
437,1.48164e-51,0.117039,5000,1,11.9102,1,0,0.0556641,0.0556641
438,1.48164e-51,0.117039,5000,1,11.834,1,0,0.0537109,0.0537109
439,1.48019e-51,0.117054,5000,1,11.8066,1,0,0.0566406,0.0566406
440,1.48164e-51,0.117039,5000,1,11.8369,1,0,0.0498047,0.0498047
441,1.47875e-51,0.117088,5000,0.999023,11.8574,0.999023,0,0.0390625,0.0390625
442,1.48164e-51,0.117039,5000,1,11.8574,1,0,0.046875,0.046875
443,1.48019e-51,0.117073,5000,0.999023,11.8643,0.999023,0,0.0439453,0.0439453
444,1.48019e-51,0.117073,5000,0.999023,11.8525,0.999023,0,0.0498047,0.0498047
445,1.48164e-51,0.117039,5000,1,11.8359,1,0,0.0390625,0.0390625
446,1.48019e-51,0.117081,5000,1,11.9277,1,0,0.0546875,0.0546875
447,1.48164e-51,0.117039,5000,1,11.9619,1,0,0.0361328,0.0361328
448,1.48164e-51,0.117039,5000,1,11.958,1,0,0.0517578,0.0517578
449,1.47875e-51,0.117088,5000,1,11.9414,0.999023,0.000976562,0.0488281,0.0488281
450,1.48164e-51,0.117039,5000,1,11.8691,1,0,0.0566406,0.0566406
451,1.48164e-51,0.117039,5000,1,11.8164,1,0,0.0439453,0.0439453
452,1.48019e-51,0.117073,5000,1,11.8184,0.999023,0.000976562,0.0634766,0.0634766
453,1.48019e-51,0.117073,5000,1,11.7852,0.999023,0.000976562,0.046875,0.046875
454,1.48164e-51,0.117039,5000,1,11.8145,1,0,0.0556641,0.0556641
455,1.48164e-51,0.117039,5000,1,11.8027,1,0,0.03125,0.03125
456,1.48019e-51,0.117054,5000,1,11.8232,1,0,0.0361328,0.0361328
457,1.48019e-51,0.117073,5000,1,11.8047,0.999023,0.000976562,0.0498047,0.0498047
458,1.48164e-51,0.117039,5000,1,11.7051,1,0,0.0585938,0.0585938
459,1.48164e-51,0.117039,5000,1,11.7227,1,0,0.0419922,0.0419922
460,1.48019e-51,0.117073,5000,0.999023,11.7178,0.999023,0,0.0458984,0.0458984
461,1.48164e-51,0.117039,5000,1,11.6953,1,0,0.0478516,0.0478516
462,1.48164e-51,0.117039,5000,1,11.6602,1,0,0.0517578,0.0517578
463,1.48164e-51,0.117039,5000,1,11.6553,1,0,0.0478516,0.0478516
464,1.48164e-51,0.117039,5000,1,11.6816,1,0,0.0527344,0.0527344
465,1.48019e-51,0.117054,5000,1,11.666,1,0,0.0419922,0.0419922
466,1.48164e-51,0.117039,5000,1,11.6484,1,0,0.0605469,0.0605469
467,1.48164e-51,0.117039,5000,1,11.6641,1,0,0.046875,0.046875
468,1.48164e-51,0.117039,5000,1,11.6416,1,0,0.0537109,0.0537109
469,1.47875e-51,0.117088,5000,1,11.6064,0.999023,0.000976562,0.0478516,0.0478516
470,1.48164e-51,0.117039,5000,1,11.5918,1,0,0.0537109,0.0537109
471,1.48019e-51,0.117054,5000,1,11.5762,1,0,0.0429688,0.0429688
472,1.48164e-51,0.117039,5000,1,11.5283,1,0,0.0458984,0.0458984
473,1.48019e-51,0.117054,5000,1,11.5732,1,0,0.0507812,0.0507812
474,1.48164e-51,0.117039,5000,1,11.5596,1,0,0.046875,0.046875
475,1.48164e-51,0.117039,5000,1,11.5576,1,0,0.0517578,0.0517578
476,1.48164e-51,0.117039,5000,1,11.5996,1,0,0.0566406,0.0566406
477,1.48164e-51,0.117039,5000,1,11.5918,1,0,0.046875,0.046875
478,1.48019e-51,0.117073,5000,1,11.5449,0.999023,0.000976562,0.0585938,0.0585938
479,1.47875e-51,0.117116,5000,0.999023,11.6094,0.999023,0,0.0410156,0.0410156
480,1.48019e-51,0.117073,5000,0.999023,11.6201,0.999023,0,0.0517578,0.0517578
481,1.48019e-51,0.117073,5000,0.999023,11.6025,0.999023,0,0.0429688,0.0429688
482,1.48019e-51,0.117054,5000,1,11.5947,1,0,0.0517578,0.0517578
483,1.48164e-51,0.117039,5000,1,11.6445,1,0,0.0507812,0.0507812
484,1.48164e-51,0.117039,5000,1,11.6777,1,0,0.0566406,0.0566406
485,1.48019e-51,0.117073,5000,0.999023,11.7217,0.999023,0,0.0498047,0.0498047
486,1.48164e-51,0.117039,5000,1,11.7256,1,0,0.0419922,0.0419922
487,1.48019e-51,0.117073,5000,0.999023,11.7314,0.999023,0,0.0498047,0.0498047
488,1.48019e-51,0.117073,5000,0.999023,11.7676,0.999023,0,0.0439453,0.0439453
489,1.48164e-51,0.117039,5000,1,11.7666,1,0,0.0449219,0.0449219
490,1.48164e-51,0.117039,5000,1,11.793,1,0,0.0488281,0.0488281
491,1.48164e-51,0.117039,5000,1,11.8398,1,0,0.0566406,0.0566406
492,1.48019e-51,0.117073,5000,0.999023,11.8252,0.999023,0,0.0410156,0.0410156
493,1.48019e-51,0.117054,5000,1,11.834,1,0,0.0478516,0.0478516
494,1.47875e-51,0.117088,5000,0.999023,11.8057,0.999023,0,0.0498047,0.0498047
495,1.48164e-51,0.117039,5000,1,11.8262,1,0,0.0605469,0.0605469
496,1.48164e-51,0.117039,5000,1,11.8467,1,0,0.0517578,0.0517578
497,1.48019e-51,0.117073,5000,1,11.8721,0.999023,0.000976562,0.0498047,0.0498047
498,1.48019e-51,0.117073,5000,0.999023,11.8877,0.999023,0,0.0439453,0.0439453
499,1.48019e-51,0.117067,5000,1,11.9102,1,0,0.0429688,0.0429688
500,1.48019e-51,0.117054,5000,1,11.8877,1,0,0.0410156,0.0410156
501,1.48164e-51,0.117039,5000,1,11.8721,1,0,0.0400391,0.0400391
502,1.48019e-51,0.117073,5000,0.999023,11.8301,0.999023,0,0.0517578,0.0517578
503,1.48164e-51,0.117039,5000,1,11.8555,1,0,0.0556641,0.0556641
504,1.47875e-51,0.117088,5000,0.999023,11.8535,0.999023,0,0.0439453,0.0439453
505,1.48164e-51,0.117039,5000,1,11.8584,1,0,0.0380859,0.0380859
506,1.48164e-51,0.117039,5000,1,11.8574,1,0,0.0478516,0.0478516
507,1.48164e-51,0.117039,5000,1,11.8936,1,0,0.0439453,0.0439453
508,1.48164e-51,0.117039,5000,1,11.835,1,0,0.0576172,0.0576172
509,1.48164e-51,0.117039,5000,1,11.8018,1,0,0.0380859,0.0380859
510,1.48164e-51,0.117039,5000,1,11.8262,1,0,0.0449219,0.0449219
511,1.48164e-51,0.117039,5000,1,11.8398,1,0,0.0576172,0.0576172
512,1.48164e-51,0.117039,5000,1,11.8428,1,0,0.0429688,0.0429688
513,1.48019e-51,0.117073,5000,0.999023,11.8408,0.999023,0,0.0537109,0.0537109
514,1.48164e-51,0.117039,5000,1,11.8398,1,0,0.0585938,0.0585938
515,1.48164e-51,0.117039,5000,1,11.8438,1,0,0.0546875,0.0546875
516,1.48164e-51,0.117039,5000,1,11.8105,1,0,0.0488281,0.0488281
517,1.48164e-51,0.117039,5000,1,11.8096,1,0,0.0576172,0.0576172
518,1.48164e-51,0.117039,5000,1,11.8232,1,0,0.0527344,0.0527344
519,1.48164e-51,0.117039,5000,1,11.8779,1,0,0.0742188,0.0742188
520,1.48164e-51,0.117039,5000,1,11.8506,1,0,0.0605469,0.0605469
521,1.48164e-51,0.117039,5000,1,11.8682,1,0,0.0585938,0.0585938
522,1.48164e-51,0.117039,5000,1,11.8672,1,0,0.0576172,0.0576172
523,1.48164e-51,0.117039,5000,1,11.8047,1,0,0.0595703,0.0595703
524,1.48019e-51,0.117061,5000,1,11.8301,1,0,0.046875,0.046875
525,1.48019e-51,0.117073,5000,0.999023,11.8594,0.999023,0,0.0566406,0.0566406
526,1.48019e-51,0.117054,5000,1,11.8936,1,0,0.046875,0.046875
527,1.48019e-51,0.117073,5000,1,11.8672,0.999023,0.000976562,0.0537109,0.0537109
528,1.48164e-51,0.117039,5000,1,11.834,1,0,0.0585938,0.0585938
529,1.48164e-51,0.117039,5000,1,11.8242,1,0,0.0488281,0.0488281
530,1.48164e-51,0.117039,5000,1,11.8467,1,0,0.046875,0.046875
531,1.48164e-51,0.117039,5000,1,11.8262,1,0,0.0507812,0.0507812
532,1.48164e-51,0.117039,5000,1,11.8594,1,0,0.0419922,0.0419922
533,1.48164e-51,0.117039,5000,1,11.8701,1,0,0.0390625,0.0390625
534,1.48164e-51,0.117039,5000,1,11.8477,1,0,0.0449219,0.0449219
535,1.48019e-51,0.117073,5000,0.999023,11.8291,0.999023,0,0.0566406,0.0566406
536,1.48019e-51,0.117054,5000,1,11.7666,1,0,0.046875,0.046875
537,1.48164e-51,0.117039,5000,1,11.7666,1,0,0.0556641,0.0556641
538,1.48164e-51,0.117039,5000,1,11.7295,1,0,0.0683594,0.0683594
539,1.48019e-51,0.117073,5000,0.999023,11.708,0.999023,0,0.0517578,0.0517578
540,1.48164e-51,0.117039,5000,1,11.7344,1,0,0.0390625,0.0390625
541,1.48164e-51,0.117039,5000,1,11.7158,1,0,0.0576172,0.0576172
542,1.48164e-51,0.117039,5000,1,11.7402,1,0,0.0439453,0.0439453
543,1.48164e-51,0.117039,5000,1,11.7598,1,0,0.046875,0.046875
544,1.48164e-51,0.117039,5000,1,11.7988,1,0,0.0351562,0.0351562
545,1.48164e-51,0.117039,5000,1,11.7793,1,0,0.0498047,0.0498047
546,1.47785e-51,0.117109,5000,0.998047,11.7334,0.998047,0,0.0507812,0.0507812
547,1.48164e-51,0.117039,5000,1,11.7275,1,0,0.046875,0.046875
548,1.48019e-51,0.117054,5000,1.00098,11.7363,1,0.000976562,0.0585938,0.0585938
549,1.48164e-51,0.117039,5000,1.00195,11.7432,1,0.00195312,0.0478516,0.0478516
550,1.48019e-51,0.117068,5000,1.00098,11.7832,1,0.000976562,0.0400391,0.0400391
551,1.48019e-51,0.117054,5000,1,11.7656,1,0,0.0429688,0.0429688
552,1.48019e-51,0.117073,5000,1,11.79,0.999023,0.000976562,0.0390625,0.0390625
553,1.48164e-51,0.117039,5000,1,11.7744,1,0,0.0419922,0.0419922
554,1.48164e-51,0.117039,5000,1,11.7744,1,0,0.0507812,0.0507812
555,1.48019e-51,0.117073,5000,0.999023,11.8232,0.999023,0,0.0507812,0.0507812
556,1.48164e-51,0.117039,5000,1,11.8203,1,0,0.0527344,0.0527344
557,1.48019e-51,0.117073,5000,0.999023,11.8232,0.999023,0,0.0537109,0.0537109
558,1.47551e-51,0.117144,5000,0.99707,11.8213,0.99707,0,0.0498047,0.0498047
559,1.47696e-51,0.117071,5000,1,11.8525,1,0,0.0634766,0.0634766
560,1.48075e-51,0.11704,5000,1,11.877,1,0,0.0585938,0.0585938
561,1.47985e-51,0.117041,5000,1,11.832,1,0,0.0439453,0.0439453
562,1.47785e-51,0.117104,5000,0.999023,11.8506,0.999023,0,0.0566406,0.0566406
563,1.47785e-51,0.117117,5000,1,11.8447,0.999023,0.000976562,0.0458984,0.0458984
564,1.48164e-51,0.117039,5000,1,11.8252,1,0,0.0380859,0.0380859
565,1.48164e-51,0.117039,5000,1,11.7832,1,0,0.0517578,0.0517578
566,1.48075e-51,0.11704,5000,1,11.7695,1,0,0.0566406,0.0566406
567,1.48019e-51,0.117073,5000,1,11.7744,0.999023,0.000976562,0.0615234,0.0615234
568,1.48019e-51,0.117054,5000,1,11.7334,1,0,0.0595703,0.0595703
569,1.48164e-51,0.117039,5000,1,11.7393,1,0,0.0341797,0.0341797
570,1.48164e-51,0.117039,5000,1,11.7295,1,0,0.0527344,0.0527344
571,1.4793e-51,0.117074,5000,0.999023,11.7363,0.999023,0,0.0449219,0.0449219
572,1.4784e-51,0.117056,5000,1,11.7314,1,0,0.0449219,0.0449219
573,1.48075e-51,0.11704,5000,1,11.6846,1,0,0.046875,0.046875
574,1.48164e-51,0.117039,5000,1,11.7002,1,0,0.0488281,0.0488281
575,1.48019e-51,0.117061,5000,1,11.6533,1,0,0.0439453,0.0439453
576,1.48164e-51,0.117039,5000,1,11.6514,1,0,0.0449219,0.0449219
577,1.48019e-51,0.117054,5000,1,11.668,1,0,0.0605469,0.0605469
578,1.48164e-51,0.117039,5000,1,11.6592,1,0,0.0449219,0.0449219
579,1.48164e-51,0.117039,5000,1,11.6592,1,0,0.0478516,0.0478516
580,1.48075e-51,0.11704,5000,1,11.6484,1,0,0.0488281,0.0488281
581,1.4793e-51,0.117055,5000,1,11.6064,1,0,0.0644531,0.0644531
582,1.48164e-51,0.117039,5000,1,11.6309,1,0,0.0478516,0.0478516
583,1.48164e-51,0.117039,5000,1,11.6514,1,0,0.0332031,0.0332031
584,1.48019e-51,0.117054,5000,1,11.6865,1,0,0.0517578,0.0517578
585,1.48164e-51,0.117039,5000,1,11.6309,1,0,0.0371094,0.0371094
586,1.47875e-51,0.117108,5000,0.998047,11.6172,0.998047,0,0.0654297,0.0654297
587,1.48164e-51,0.117039,5000,1,11.6143,1,0,0.0507812,0.0507812
588,1.48019e-51,0.117073,5000,1,11.5859,0.999023,0.000976562,0.0332031,0.0332031
589,1.48164e-51,0.117039,5000,1,11.5762,1,0,0.0605469,0.0605469
590,1.48019e-51,0.117054,5000,1,11.5537,1,0,0.046875,0.046875
591,1.48075e-51,0.11704,5000,1,11.5723,1,0,0.0507812,0.0507812
592,1.48164e-51,0.117039,5000,1,11.5498,1,0,0.03125,0.03125
593,1.47875e-51,0.117088,5000,0.999023,11.5195,0.999023,0,0.0429688,0.0429688
594,1.48164e-51,0.117039,5000,1,11.5361,1,0,0.0439453,0.0439453
595,1.47875e-51,0.117069,5000,1,11.5635,1,0,0.0576172,0.0576172
596,1.48164e-51,0.117039,5000,1,11.5684,1,0,0.046875,0.046875
597,1.48164e-51,0.117039,5000,1,11.5537,1,0,0.0576172,0.0576172
598,1.48164e-51,0.117039,5000,1,11.5391,1,0,0.0517578,0.0517578
599,1.48164e-51,0.117039,5000,1,11.5322,1,0,0.0400391,0.0400391
600,1.48164e-51,0.117039,5000,1,11.5225,1,0,0.0517578,0.0517578
601,1.48019e-51,0.117061,5000,1,11.5322,1,0,0.0507812,0.0507812
602,1.48164e-51,0.117039,5000,1,11.5762,1,0,0.0585938,0.0585938
603,1.48164e-51,0.117039,5000,1,11.5928,1,0,0.0400391,0.0400391
604,1.48019e-51,0.117054,5000,1,11.6484,1,0,0.0644531,0.0644531
605,1.48164e-51,0.117039,5000,1,11.6387,1,0,0.0419922,0.0419922
606,1.48164e-51,0.117039,5000,1,11.6299,1,0,0.0400391,0.0400391
607,1.48019e-51,0.117054,5000,1,11.6299,1,0,0.0537109,0.0537109
608,1.48164e-51,0.117039,5000,1,11.6309,1,0,0.0498047,0.0498047
609,1.48164e-51,0.117039,5000,1,11.6533,1,0,0.0537109,0.0537109
610,1.48164e-51,0.117039,5000,1,11.6846,1,0,0.0537109,0.0537109
611,1.47875e-51,0.117108,5000,0.998047,11.6699,0.998047,0,0.0703125,0.0703125
612,1.47875e-51,0.117088,5000,0.999023,11.6875,0.999023,0,0.0390625,0.0390625
613,1.48164e-51,0.117039,5000,1,11.6885,1,0,0.0449219,0.0449219
614,1.48164e-51,0.117039,5000,1,11.7002,1,0,0.0546875,0.0546875
615,1.48164e-51,0.117039,5000,1,11.6924,1,0,0.0488281,0.0488281
616,1.48164e-51,0.117039,5000,1,11.6436,1,0,0.0507812,0.0507812
617,1.47875e-51,0.117083,5000,1,11.6191,1,0,0.0605469,0.0605469
618,1.48164e-51,0.117039,5000,1,11.6289,1,0,0.0517578,0.0517578
619,1.48164e-51,0.117039,5000,1,11.6299,1,0,0.0507812,0.0507812
620,1.48019e-51,0.117054,5000,1,11.6143,1,0,0.0507812,0.0507812
621,1.48164e-51,0.117039,5000,1,11.6162,1,0,0.0351562,0.0351562
622,1.48019e-51,0.117054,5000,1,11.6035,1,0,0.0488281,0.0488281
623,1.48164e-51,0.117039,5000,1,11.6172,1,0,0.0615234,0.0615234
624,1.48164e-51,0.117039,5000,1,11.5889,1,0,0.0478516,0.0478516
625,1.48164e-51,0.117039,5000,1,11.585,1,0,0.0478516,0.0478516
626,1.48164e-51,0.117039,5000,1,11.6084,1,0,0.0498047,0.0498047
627,1.48164e-51,0.117039,5000,1,11.6104,1,0,0.0507812,0.0507812
628,1.48164e-51,0.117039,5000,1,11.6621,1,0,0.0449219,0.0449219
629,1.48019e-51,0.117054,5000,1,11.6699,1,0,0.0585938,0.0585938
630,1.48164e-51,0.117039,5000,1,11.6689,1,0,0.0664062,0.0664062
631,1.48019e-51,0.117073,5000,0.999023,11.6357,0.999023,0,0.0419922,0.0419922
632,1.48019e-51,0.117054,5000,1,11.6602,1,0,0.0488281,0.0488281
633,1.48164e-51,0.117039,5000,1,11.6416,1,0,0.0498047,0.0498047
634,1.48019e-51,0.117073,5000,0.999023,11.6396,0.999023,0,0.0566406,0.0566406
635,1.48164e-51,0.117039,5000,1,11.6367,1,0,0.0439453,0.0439453
636,1.48019e-51,0.117054,5000,1,11.6387,1,0,0.0488281,0.0488281
637,1.48164e-51,0.117039,5000,1,11.6699,1,0,0.0400391,0.0400391
638,1.48164e-51,0.117039,5000,1,11.6768,1,0,0.0400391,0.0400391
639,1.48164e-51,0.117039,5000,1,11.7129,1,0,0.0605469,0.0605469
640,1.48164e-51,0.117039,5000,1,11.7158,1,0,0.0478516,0.0478516
641,1.48164e-51,0.117039,5000,1,11.5986,1,0,0.0458984,0.0458984
642,1.48164e-51,0.117039,5000,1,11.6143,1,0,0.0556641,0.0556641
643,1.4773e-51,0.117123,5000,0.998047,11.6357,0.998047,0,0.0458984,0.0458984
644,1.48019e-51,0.117054,5000,1,11.6367,1,0,0.0458984,0.0458984
645,1.48164e-51,0.117039,5000,1,11.6328,1,0,0.0585938,0.0585938
646,1.47875e-51,0.117088,5000,1,11.6006,0.999023,0.000976562,0.0546875,0.0546875
647,1.48164e-51,0.117039,5000,1,11.5918,1,0,0.0400391,0.0400391
648,1.48019e-51,0.117054,5000,1,11.5742,1,0,0.0478516,0.0478516
649,1.48164e-51,0.117039,5000,1,11.585,1,0,0.0498047,0.0498047
650,1.4773e-51,0.117137,5000,0.998047,11.5596,0.998047,0,0.0498047,0.0498047
